Platform,Status,watched_date_time,Video Link,Video Name,Channel Name,Channel Link,Rating,Duration,Length,Thumbnail,Likes,Views
YouTube,Watched,2024-06-28T09:05:06.406Z,https://www.youtube.com/watch?v=tb4x1X8HYNk,Sollattuma?! 🔥 #thalapathyvijay #master #shorts #masteraudiolaunch #suntv,Sun TV,https://www.youtube.com/channel/UCBnxEdpoZwstJqC1yZpOjRA,,PT54S,,https://i.ytimg.com/vi/tb4x1X8HYNk/default.jpg,237095,4111344
YouTube,Watched,2024-06-28T09:04:31.061Z,https://www.youtube.com/watch?v=qQOsGmEOhKk,…the facial expressions! Red or Blue??? Fabulous Finale!! - SHUFFLEBOARD,John,https://www.youtube.com/channel/UCX3zp1p-YoQJOa2ybw6849Q,,PT34S,,https://i.ytimg.com/vi/qQOsGmEOhKk/default.jpg,6413834,138161841
YouTube,Watched,2024-06-28T09:03:53.856Z,https://www.youtube.com/watch?v=hZ4EZo1sCI4,'Fast Bowler-ப்பா நானு Bat-அ புடிச்சு பாரு..' 🤣 அலப்பறை குடுத்த Soori,Behindwoods TV,https://www.youtube.com/channel/UC8md0UEGj7UbjcZtMjBVrgQ,,PT37S,,https://i.ytimg.com/vi/hZ4EZo1sCI4/default.jpg,320465,4441874
YouTube,Watched,2024-06-28T09:03:21.976Z,https://www.youtube.com/watch?v=VLBw7aXIUwY,thavadthod Rohit Sharma today against England. Congrats Team India.. #cricket07 #indiancricketteam,GAMEPLAY ft NJ ,https://www.youtube.com/channel/UCvrsL3uOdU_W1QBA5VQtQJw,,PT31S,,https://i.ytimg.com/vi/VLBw7aXIUwY/default.jpg,6,501
YouTube,Watched,2024-06-28T09:03:20.906Z,https://www.youtube.com/watch?v=aWl2DFE-fnM,Save a throwback song. Create with it when inspiration strikes.,YouTube International Spotlight,https://www.youtube.com/channel/UCaxpAIn0XYokA8vLRjw8GHg,,PT16S,,https://i.ytimg.com/vi/aWl2DFE-fnM/default.jpg,,14574795
YouTube,Watched,2024-06-28T09:02:15.361Z,https://www.youtube.com/watch?v=6SnGvZ2VuVA,What finish ( Australia vs Newzealand) cricket,PlaystationBoy,https://www.youtube.com/channel/UC9YyHDGRiewO1yA0skRz6tg,,PT1M,,https://i.ytimg.com/vi/6SnGvZ2VuVA/default.jpg,753488,19312934
YouTube,Watched,2024-06-28T09:02:07.497Z,https://www.youtube.com/watch?v=qL6AH1H4-xs,How many languages does India’s Foreign Minister know?,Brut India,https://www.youtube.com/channel/UCCgQaXjsJ6EdFPZeTFQoSyw,,PT58S,,https://i.ytimg.com/vi/qL6AH1H4-xs/default.jpg,450735,12762477
YouTube,Watched,2024-06-28T09:02:05.247Z,https://www.youtube.com/watch?v=ioidT5Wjx48,No More KERALA! 😟,Madan Gowri,https://www.youtube.com/channel/UCY6KjrDBN_tIRFT_QNqQbRQ,,PT40S,,https://i.ytimg.com/vi/ioidT5Wjx48/default.jpg,132964,1828963
YouTube,Watched,2024-06-28T09:01:25.621Z,https://www.youtube.com/watch?v=2XlMNiF6fPE,போர்குணம் அற்று போச்சி இந்த இனம்💯🔴 அண்ணன் 💥 ஜூன்24,NTK TECH TEAM - நாம் தமிழர் தகவல் குழு,https://www.youtube.com/channel/UCpx5mx8Gfgu55lzbsXvDlLA,,PT42S,,https://i.ytimg.com/vi/2XlMNiF6fPE/default.jpg,51543,543780
YouTube,Watched,2024-06-28T09:01:24.164Z,https://www.youtube.com/watch?v=_xtEJUo8raU,Certified Power BI Domination Workshop - Sign Up Now!,Jatan Shah,https://www.youtube.com/channel/UCP0ap2XWcmYornLeoi2CBzA,,PT55S,,https://i.ytimg.com/vi/_xtEJUo8raU/default.jpg,100580,1915935
YouTube,Watched,2024-06-28T09:00:25.991Z,https://www.youtube.com/watch?v=IfKC3NtPUoY,Dhoni ஒரு தடவ நம்பிக்கை வச்சுட்டாருன்னா அவ்ளோதான்! - Cricketer Ashwin | #shorts,Sports Vikatan,https://www.youtube.com/channel/UCWEGX-Jqq5e7pPeatOh3neA,,PT58S,,https://i.ytimg.com/vi/IfKC3NtPUoY/default.jpg,70636,1167674
YouTube,Watched,2024-06-28T08:59:39.836Z,https://www.youtube.com/watch?v=Hy8HcHAfHZI,"""Muttiah Muralitharan sir, Easy-யா அடிக்கிற Bowling போடுங்க.."" Neeya Naana Gopinath 🔥 Throwback",Behindwoods TV,https://www.youtube.com/channel/UC8md0UEGj7UbjcZtMjBVrgQ,,PT45S,,https://i.ytimg.com/vi/Hy8HcHAfHZI/default.jpg,85877,1113742
YouTube,Watched,2024-06-28T05:27:57.479Z,https://www.youtube.com/watch?v=jyoFvSPFDIo,HOW TO WRITE A COVER LETTER for a JOB APPLICATION! (The BEST Example COVER LETTER to GET YOU HIRED!),CareerVidz,https://www.youtube.com/channel/UCrtPXCqjm9c7nqgJL-vBSZg,,PT6M52S,,https://i.ytimg.com/vi/jyoFvSPFDIo/default.jpg,29004,897498
YouTube,Watched,2024-06-28T05:27:51.285Z,https://www.youtube.com/watch?v=JPsBYSQRX-I,Testbook Exam Preparation App - UGC NET Results 2271 Selection,Testbook: Exam Preparation App,https://www.youtube.com/channel/UCgI16Sbx8aWF0iL1pVB6YPQ,,PT16S,,https://i.ytimg.com/vi/JPsBYSQRX-I/default.jpg,1,200128
YouTube,Watched,2024-06-28T05:16:10.422Z,https://www.youtube.com/watch?v=v9m1YUvoiR8,HOW TO WRITE A COVER LETTER WITH NO EXPERIENCE! The BEST COVER LETTER TEMPLATE for JOB APPLICATIONS!,CareerVidz,https://www.youtube.com/channel/UCrtPXCqjm9c7nqgJL-vBSZg,,PT8M21S,,https://i.ytimg.com/vi/v9m1YUvoiR8/default.jpg,3119,74703
YouTube,Watched,2024-06-28T05:12:53.068Z,https://www.youtube.com/watch?v=NUhDP30IRKk,Write an Amazing Cover Letter: 3 Golden Rules (Template included),Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,,PT7M26S,,https://i.ytimg.com/vi/NUhDP30IRKk/default.jpg,50825,2222975
YouTube,Watched,2024-06-28T05:12:47.203Z,https://www.youtube.com/watch?v=GpDf5Gk9i30,Make your app the best it can be with Firebase,Firebase,https://www.youtube.com/channel/UCP4bf6IHJJQehibu6ai__cg,,PT22S,,https://i.ytimg.com/vi/GpDf5Gk9i30/default.jpg,350008,68205279
YouTube,Watched,2024-06-28T05:09:30.259Z,https://www.youtube.com/watch?v=otQY8AsZI1w,Forget about Applying for Jobs on LinkedIn or Indeed and Do This Instead,KISSS Career Coaching,https://www.youtube.com/channel/UCT5vLoyyKmhRbCHZBRM-lpQ,,PT5M,,https://i.ytimg.com/vi/otQY8AsZI1w/default.jpg,13085,510641
