Channel_Id,Name,Subscribers,Total_views,Joined,Category
UCgmt-P0Ud-pneS0YqD2WTNQ,Slottube,1220000,512021274,2023-03-24T17:32:37.009625Z,N/A
UChJRDTWVS8JaDbhsclfTUKg,Mabu Crush,7040000,5042646745,2012-09-16T10:44:03Z,N/A
UCi5Y2eMhwDkbhE2bbpy9Qug,Vk Tamizhan Gaming ,223,5567,2019-05-26T14:52:23Z,N/A
UCj34SvLTQS1rrmYcwca0k_g,sujith_editz,530,135885,2022-07-10T03:43:05.136373Z,N/A
UCjDHKp8AGNucJmEBMCk0NGg,CareerRide,1090000,84399159,2012-11-23T07:29:31Z,N/A
UCjgKt7SP1mS8NrSheciASrw,KB VLOGS,78,442,2018-05-04T08:47:44Z,N/A
UCm4PlToTlCcOf-jUWSFB3iw,Behindwoods Air ,5510000,1578558200,2018-02-06T01:47:33Z,N/A
UCmCEfzMwWZmASknU8aMWiJA,Sandeep Rani,8650,294558,2023-04-16T20:49:51.534793Z,N/A
UCmEDdYsBjM0LkYWojQ8QN4A,Speech on success,614000,244610389,2023-05-26T07:14:20.327058Z,N/A
UCmE_2CODsZ6fjO0CbQ_wvGA,Barath Mohan,338000,129064791,2021-10-17T16:47:30.67148Z,N/A
UCn1rfzaJZHJiJBQc1hFEBTA,Joshua Aaron,1070000,140880568,2011-10-12T09:37:04Z,N/A
UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,17500000,13693793083,2014-08-06T15:11:11Z,N/A
UCoMRLbBwPkUUktbxvO0FvlQ,Madurai Ramakrishnan,18800,1534310,2007-12-05T15:33:39Z,N/A
UCoNNhGGAYkdavsSXp1iVzCg,HSE Ireland,33000,40970830,2010-11-12T23:51:48Z,N/A
UCpIyxQjHtn4Ddiyv1yBfbQw,GOSU Vlogs,195000,7262959,2024-06-19T05:43:41.490848Z,N/A
UCpa6KnNHsLcTXzI-i3F8jxA,Prankster Surya,1390000,196402211,2020-11-21T14:35:11.305179Z,N/A
UCqGdB01Ru_0uuR9p1aDpqqw,THROWBACK TIMES,5,697,2023-02-11T17:50:11.149516Z,N/A
UCqZbKCEpqg7IZgo7N6Jc5tw,science facts in tamil,359000,33367915,2017-02-05T14:36:03Z,N/A
UCqdpvuKq4bShO1cJoFX6zpQ,Almost Everything,1660000,114996251,2017-05-31T14:47:34Z,N/A
UCqtSF5ANLocXrJ-agNRfMKg,Sanki Monkey Vlogs,380,3225,2023-08-17T05:27:36.488985Z,N/A
UCr4u0kefjfj1eZHzWOHQJsQ,Vmate BTS,1330000,699167354,2021-06-04T15:31:25.309306Z,N/A
UCrU83y4nqxHQOkmBIid8IBg,HOUSE OF MAVERICK,1080000,175243724,2019-05-07T05:48:03Z,N/A
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,243000,20296388,2014-04-19T02:27:06Z,N/A
UCuL_AQhW-wWzNaP2LEelAlw,MGMS TAMIL,1220000,269021752,2016-08-13T04:51:10Z,N/A
UCueYcgdqos0_PzNOq81zAFg,Parithabangal,5600000,1464435817,2018-02-08T17:44:41Z,N/A
UCufsqbhCy16gUWnfG2gjZsg,Mr.Village Vaathi,2000000,800333152,2021-06-03T11:08:15.154053Z,N/A
UCvhU9qF1xtUsFXdKrcJxbFA,Curious Freaks,356000,34007934,2021-11-01T08:02:14.72951Z,N/A
UCvyN-kMH-IrXzWNeZaQ_XaQ,Subway Surfers,9080000,1350867044,2011-10-05T11:12:41Z,N/A
UCvyZS6W6zMJCZBVzF-Ei6sw,A2D Channel,1680000,412850013,2016-07-17T17:13:18Z,N/A
UCwr-evhuzGZgDFrq_1pLt_A,Error Makes Clever,759000,48091131,2023-04-10T07:37:38.000808Z,N/A
UCx-_4-5HqTcGE2-UUYRt5oQ,Ungal Anban Hemanth,652000,74199599,2010-10-10T18:39:04Z,N/A
UCzH3dxbKwk7TYMyzN_HU_3Q,GV EASY DRAWING ,596,53578,2021-10-25T01:46:27.635356Z,N/A
UCzh5hQc_O3r3xjh9sXrM7-A,Black Sheep,4700000,914233910,2016-02-29T18:22:03Z,N/A
